pseudo_id,labels,n_frames,n_labels
UEdw,"[2, 7, 17, 394]",180,4
podw,"[46, 85, 155, 264, 377]",199,5
T7dw,"[2, 44, 64, 113, 119, 800]",300,6
QNdw,"[2, 30, 1083, 1808]",252,4
xNdw,[9],300,1
nVdw,"[4, 13, 41, 54]",297,4
tjdw,"[220, 668]",164,2
jedw,"[11, 20, 22, 29, 32, 123, 250, 334, 564]",248,9
43dw,[9],214,1
Akdw,"[2, 7, 104, 563]",300,4
TYdw,"[2, 44, 46]",220,3
wFdw,"[3, 6, 433]",300,3
dmdw,"[81, 1809]",232,2
5Vdw,"[3, 4]",165,2
3Sdw,"[0, 12]",277,2
9Jdw,"[146, 289, 2020]",222,3
zRdw,[46],208,1
sfdw,"[2, 186]",122,2
AAdw,"[72, 452]",300,2
AEdw,"[4, 9]",228,2
YFdw,"[3, 13]",300,2
uNdw,"[0, 1, 42, 863, 2357]",300,5
gudw,"[0, 1, 153, 719]",163,4
Ofdw,[315],149,1
6Cdw,"[11, 83]",171,2
pCdw,"[5, 16, 744, 1249, 1963]",201,5
Fkdw,"[3, 4, 9, 10, 13, 37]",300,6
84dw,"[26, 999]",171,2
mUdw,[8],201,1
ggdw,[14],288,1
RTdw,[5],194,1
o7dw,"[2, 30, 196]",201,3
etdw,[2438],157,1
utdw,"[2, 7, 90, 171]",300,4
HDdw,"[0, 1, 153, 1232]",273,4
IBdw,"[140, 2248]",208,2
HCdw,"[74, 200, 275, 629, 697]",300,5
1ndw,[2],152,1
cQdw,"[0, 1, 27, 192, 294]",300,5
SKdw,"[2, 7, 90]",277,3
Scdw,[986],300,1
6ldw,"[5, 16, 144, 190, 384]",220,5
Irdw,"[0, 450]",300,2
Lmdw,[3],300,1
fydw,"[0, 1, 258, 926, 2795]",300,5
v8dw,"[82, 118]",300,2
Uedw,"[2508, 2716]",300,2
7ldw,[8],300,1
Rddw,[1127],210,1
p0dw,"[9, 10, 37]",300,3
53dw,"[389, 860]",258,2
cEdw,[8],145,1
Jadw,[6],173,1
uudw,"[3, 9]",204,2
zpdw,"[0, 223, 1041]",120,3
Pvdw,"[68, 72, 151, 166]",165,4
srdw,"[2, 7, 757, 3373]",129,4
ltdw,"[181, 249]",282,2
xFdw,[88],223,1
4fdw,"[11, 20, 22, 29, 32, 221, 426, 605, 1156, 1843]",280,10
Hkdw,"[5, 136]",208,2
l2dw,[5],226,1
UZdw,"[0, 1, 63, 72, 1530, 1599]",300,6
2Mdw,[282],300,1
Addw,"[0, 1, 35, 134, 795]",300,5
7sdw,"[21, 23, 24, 73]",237,4
lzdw,"[3, 4]",232,2
bedw,"[15, 96, 1466, 1666, 2048]",150,5
lQdw,[3],300,1
tcdw,"[341, 1510]",162,2
Y4dw,"[0, 27]",190,2
JQdw,"[0, 1, 868]",144,3
ifdw,"[0, 79, 91]",212,3
y4dw,[832],232,1
tndw,[195],181,1
Hldw,"[19, 48, 415, 575, 1284, 3545]",191,6
Cpdw,[260],145,1
50dw,[818],135,1
m5dw,"[40, 144]",121,2
sIdw,[325],300,1
XPdw,"[2, 30, 55, 975, 1621]",155,5
cxdw,[284],121,1
kzdw,"[146, 158, 279, 454]",161,4
Pudw,"[2, 45, 51, 56, 77, 137]",300,6
kCdw,"[15, 18, 43, 59, 178, 368]",300,6
Dmdw,"[9, 10, 37]",201,3
8ddw,[100],120,1
s1dw,"[401, 1421]",300,2
cydw,"[3, 4, 9]",300,3
Rpdw,"[3, 41]",271,2
Y6dw,"[68, 72, 2868, 2988, 3829]",197,5
sJdw,"[3, 4, 6, 9, 10, 13, 28, 33]",201,8
ypdw,"[580, 992]",158,2
9Pdw,[3],299,1
cedw,[14],228,1
fldw,"[5, 16]",224,2
rLdw,"[60, 353, 673]",128,3
9ydw,"[0, 1, 36, 94]",300,4
bFdw,"[0, 1, 42, 111]",240,4
qTdw,"[0, 1, 5, 1485]",291,4
Fcdw,"[0, 1, 900]",300,3
M6dw,"[4, 9, 539]",300,3
JIdw,"[15, 18, 87, 536]",124,4
uFdw,[1332],278,1
OHdw,[291],125,1
LUdw,[92],130,1
0adw,"[31, 40, 47, 57, 117]",226,5
hrdw,"[3, 4, 6]",134,3
ZWdw,"[1, 489, 517, 1691]",224,4
cWdw,[27],237,1
Vmdw,"[246, 388]",122,2
u2dw,[13],300,1
2fdw,"[0, 12]",300,2
oZdw,[282],229,1
rUdw,[182],235,1
q2dw,"[133, 325]",124,2
cGdw,[1559],300,1
dadw,"[0, 159, 339]",270,3
stdw,[3],300,1
Vxdw,"[0, 12]",232,2
todw,"[31, 40, 57]",165,3
j8dw,"[5, 16]",145,2
5odw,"[21, 23, 24, 73, 115, 718, 3036]",300,7
9Ndw,"[3, 4, 6, 10, 13, 28, 33, 38]",279,8
zvdw,"[21, 23, 24]",280,3
Ahdw,"[3, 4, 6, 9, 10, 34]",300,6
EAdw,[5],200,1
Qtdw,[6],198,1
4ydw,[61],183,1
51dw,"[39, 121, 156, 207]",300,4
IIdw,"[380, 497]",198,2
e4dw,"[68, 72, 98, 240]",194,4
pwdw,"[3, 4, 6, 38]",300,4
W9dw,[2282],240,1
cHdw,[126],157,1
q3dw,[14],230,1
45dw,"[1, 357]",300,2
tidw,"[0, 1, 5, 733]",177,4
w4dw,"[21, 23, 24, 73, 2035]",194,5
KLdw,"[285, 1181]",173,2
Wndw,"[11, 20, 22, 29, 32, 122, 472, 680]",135,8
qkdw,"[0, 1, 35, 1335, 1955, 3307, 3828]",300,7
Wydw,"[5, 1135]",201,2
8wdw,"[26, 199, 370, 526, 527, 2661]",300,6
Gxdw,"[0, 1, 159, 1336]",300,4
5Sdw,"[0, 12, 237]",300,3
DYdw,"[3, 4, 9, 10, 13]",167,5
jjdw,[50],219,1
ZPdw,[8],144,1
Dldw,"[0, 12]",300,2
L9dw,[12],198,1
RMdw,[365],300,1
2sdw,"[0, 1, 5, 35, 929]",300,5
xqdw,[5],169,1
Pxdw,"[15, 18, 60, 87, 365, 545]",207,6
uddw,"[3, 6]",300,2
EWdw,"[64, 113, 119, 475]",190,4
7ddw,"[3, 4, 13, 54, 1799]",300,5
1Idw,"[3, 28]",300,2
21dw,"[141, 247]",205,2
rrdw,"[0, 1, 36, 132, 185]",300,5
02dw,"[2, 7, 375, 420, 1142, 1660, 2039]",178,7
09dw,"[0, 1, 27, 35, 1305]",240,5
H7dw,[5],211,1
AZdw,"[8, 726]",134,2
qqdw,"[0, 1, 36, 94, 183]",233,5
ZTdw,[727],171,1
3xdw,"[0, 1, 19, 1635]",183,4
GGdw,[16],124,1
cSdw,"[179, 2285, 2319]",254,3
1udw,"[496, 3785]",300,2
2Adw,[3],237,1
0Idw,[698],300,1
p6dw,"[0, 765, 1092, 1175]",260,4
eadw,"[2, 7, 213, 224, 267, 399, 923]",300,7
iWdw,"[0, 1, 5, 395]",243,4
wVdw,"[2, 7, 90, 171, 469, 792, 878, 1179]",262,8
QBdw,"[0, 12]",229,2
tNdw,"[400, 698]",210,2
Wzdw,"[2, 43, 76, 446, 473, 547, 1597]",300,7
P8dw,"[8, 206]",119,2
M7dw,"[166, 398, 482, 501, 1290]",273,5
T6dw,"[141, 247, 255]",288,3
EJdw,"[3, 4]",192,2
79dw,"[5, 16]",136,2
NLdw,"[2, 7, 90, 174, 361, 830, 1307, 1549, 2558]",300,9
Todw,[61],196,1
NFdw,"[80, 694]",225,2
Kkdw,"[0, 82, 103, 118]",192,4
vrdw,[147],164,1
WNdw,[61],300,1
apdw,"[410, 722]",271,2
zHdw,"[39, 156, 529]",158,3
eMdw,"[15, 18, 59, 178, 1801, 2884]",205,6
Wudw,"[0, 1, 27]",287,3
vVdw,"[3, 4, 9]",181,3
Ukdw,[85],300,1
YDdw,"[8, 383]",124,2
jCdw,"[66, 148, 253, 3471]",301,4
7gdw,"[68, 72, 98, 151, 240]",196,5
Rgdw,"[2, 17, 30, 55, 143, 340, 408, 837, 3665]",260,9
Drdw,[89],227,1
ytdw,"[1, 24, 74, 131]",211,4
ACdw,"[0, 1, 27]",223,3
Vvdw,"[3, 4]",243,2
Gydw,"[3, 4, 13]",297,3
tldw,[179],189,1
Bcdw,[61],250,1
Hjdw,"[53, 58, 163, 214, 232, 284, 427]",300,7
Tfdw,[832],138,1
NGdw,"[2, 17, 64, 95, 135, 345]",300,6
bEdw,"[43, 60, 101]",171,3
kqdw,[866],126,1
wPdw,[52],173,1
Pjdw,"[0, 1, 5, 1538]",300,4
oadw,[14],220,1
Nndw,"[5, 16]",199,2
sXdw,"[48, 213, 1657]",184,3
yEdw,"[0, 1, 84, 169, 476, 2121]",300,6
Gsdw,"[2, 7, 83, 541]",300,4
Ogdw,"[179, 229, 771, 917, 1058]",300,5
0tdw,"[0, 1, 27, 88]",207,4
NSdw,"[6, 8]",197,2
yfdw,"[0, 1, 19, 35, 134, 768]",300,6
mjdw,"[0, 1, 3185]",210,3
1Tdw,"[0, 1, 21, 23, 24]",132,5
Acdw,"[730, 824, 1243]",270,3
p8dw,[65],233,1
exdw,"[3, 8]",123,2
89dw,"[49, 623, 1051]",178,3
6tdw,"[0, 1, 63, 167]",130,4
Ffdw,[106],240,1
2Hdw,"[0, 12]",300,2
Wldw,"[3, 4, 6, 13, 28, 38]",300,6
6ddw,"[28, 33, 38, 78, 86]",192,5
8Ldw,"[0, 1, 1607]",300,3
Cidw,"[105, 192, 331, 488]",251,4
Iodw,"[5, 12]",261,2
nZdw,"[1, 19, 174, 524, 2170]",300,5
C3dw,[14],206,1
OIdw,"[307, 400, 1299]",300,3
Eodw,"[2, 76]",132,2
8Bdw,"[4, 13, 33, 168, 565]",206,5
5Xdw,[41],201,1
4Ndw,[133],290,1
mFdw,"[8, 910]",300,2
ngdw,"[15, 239]",300,2
Vkdw,"[15, 96, 289, 363, 499]",280,5
HQdw,[422],157,1
Dedw,"[311, 360]",166,2
aWdw,[3],286,1
R7dw,[14],300,1
lgdw,"[11, 20, 22, 29, 32, 2318]",240,6
zDdw,"[2, 30, 940]",300,3
Osdw,"[0, 1, 5, 254, 1211, 1565, 2452]",300,7
Dddw,[2984],186,1
iOdw,"[2, 7]",300,2
6pdw,[984],198,1
H8dw,"[3, 4, 9, 10, 13, 38]",196,6
uXdw,"[0, 42, 306]",169,3
lCdw,"[0, 1, 489, 776]",261,4
vGdw,[8],163,1
eXdw,"[1, 105, 192, 331, 455, 1296]",267,6
pcdw,"[5, 150, 204, 1008]",231,4
hqdw,"[15, 18, 67, 170, 314]",274,5
ZGdw,[311],223,1
PIdw,[8],203,1
Fwdw,"[15, 363, 533, 1816, 3151]",178,5
2Ndw,"[246, 658]",300,2
iedw,"[0, 1]",300,2
Wvdw,"[410, 722, 2025]",300,3
n5dw,[79],300,1
gLdw,"[2, 30, 55, 2809]",125,4
fOdw,"[2, 7, 171]",160,3
98dw,"[3, 4, 6, 10, 97, 351]",251,6
oIdw,[8],126,1
gBdw,"[50, 65]",164,2
tXdw,"[5, 1184]",201,2
andw,"[4, 9, 10, 34]",247,4
KOdw,"[0, 1, 139]",249,3
7adw,[199],253,1
2cdw,"[3, 6]",212,2
vBdw,"[0, 1, 157, 481, 681, 3352]",222,6
Lcdw,"[0, 12, 118]",265,3
L1dw,[2329],279,1
Z1dw,"[6, 8]",193,2
QJdw,"[0, 1, 5, 733, 1829]",140,5
28dw,"[4, 13]",300,2
Ybdw,"[0, 1, 27]",296,3
oudw,"[0, 1, 93, 102, 449]",184,5
0vdw,"[5, 618]",247,2
FIdw,"[11, 176, 683, 814, 1276]",300,5
w6dw,"[15, 26, 1044]",300,3
iTdw,"[1, 19, 48, 258, 283, 457, 524, 1991, 2506]",260,9
oEdw,"[62, 1398]",176,2
bMdw,"[62, 966]",300,2
Csdw,"[21, 23, 24, 115, 520, 1094]",300,6
jRdw,"[28, 33, 38, 78, 86, 553]",246,6
budw,"[260, 371]",271,2
jqdw,[133],300,1
Ocdw,"[0, 1319]",261,2
pjdw,"[1, 105, 424, 535, 590]",300,5
Uodw,"[0, 1]",126,2
gFdw,"[21, 23, 24, 115]",278,4
fjdw,"[0, 42, 306]",281,3
8ydw,"[3, 4, 6, 9]",125,4
3Hdw,[12],260,1
dJdw,"[1, 1227]",120,2
LFdw,"[5, 16]",214,2
OOdw,"[4, 8, 13, 164, 175]",300,5
yxdw,"[0, 1, 27]",300,3
8Wdw,"[0, 1, 36, 94]",300,4
Lbdw,"[0, 1, 42, 890]",300,4
kSdw,"[141, 511, 746, 1289]",170,4
lDdw,[14],300,1
gadw,"[220, 276, 820, 3297]",300,4
XXdw,"[0, 12, 91]",188,3
DXdw,"[21, 23, 73, 2035]",208,4
uZdw,[11],191,1
Ztdw,"[0, 106]",234,2
uadw,"[5, 16, 84, 169, 405]",300,5
0Tdw,[26],300,1
3tdw,"[11, 22, 29, 173, 477, 528, 892]",124,7
bydw,"[3, 3637]",300,2
u3dw,"[5, 16]",247,2
3Kdw,"[573, 1316]",280,2
Ycdw,"[68, 72, 98]",282,3
A8dw,"[5, 16]",128,2
bSdw,"[0, 1, 150, 204, 739, 1231, 2196]",254,7
QFdw,"[66, 909]",209,2
0mdw,"[0, 1, 319, 654]",192,4
RSdw,[19],190,1
rjdw,[640],300,1
3Tdw,"[8, 71, 152]",164,3
Vqdw,[332],131,1
X1dw,"[0, 153]",300,2
Gudw,[52],300,1
hxdw,"[2, 17, 30, 55, 408, 975, 1083, 1621]",276,8
2odw,"[11, 20, 22]",141,3
DEdw,"[50, 65, 256, 355, 913]",270,5
W6dw,"[0, 1, 357, 372, 532]",300,5
7Fdw,[3],258,1
3Mdw,[5],225,1
UMdw,"[25, 682, 3479]",166,3
TQdw,"[0, 215, 217, 412, 447]",300,5
badw,"[2, 7, 305]",180,3
30dw,"[0, 1, 36, 94, 147]",300,5
BOdw,"[0, 1, 69, 378, 395]",300,5
zndw,"[2, 7]",154,2
U3dw,"[2, 7, 2808]",133,3
12dw,"[3, 4, 9, 10, 13, 89]",281,6
Uudw,"[5, 801, 2176]",300,3
M0dw,[15],188,1
01dw,"[0, 93, 102, 449]",219,4
y6dw,[231],250,1
M9dw,"[0, 1]",125,2
i6dw,"[0, 1, 352]",300,3
eDdw,"[5, 16]",197,2
Qfdw,"[0, 1, 2163]",152,3
gldw,"[260, 592]",250,2
g7dw,"[5, 16, 25]",121,3
5Mdw,"[0, 1, 27]",165,3
m8dw,"[3, 4, 28, 38]",300,4
eTdw,[261],203,1
b7dw,"[15, 18, 67, 1287]",300,4
YQdw,"[141, 247, 255]",157,3
f5dw,"[2, 44, 46, 107, 109]",240,5
jVdw,"[2, 17, 19, 30]",145,4
YWdw,"[249, 950]",252,2
KQdw,"[2, 7, 1029, 1825, 2192]",135,5
ZBdw,"[43, 101]",164,2
wndw,[1518],143,1
9Odw,"[0, 1, 36, 403, 423, 582]",300,6
tCdw,[12],209,1
rXdw,"[4, 6, 14, 28]",197,4
Lgdw,[146],289,1
EZdw,"[2, 17, 19, 30, 55, 1073]",210,6
i4dw,"[2, 30, 55, 280, 1178]",300,5
RNdw,"[25, 225]",124,2
Rxdw,"[0, 1, 5, 613, 738, 983, 1149, 1581]",266,8
bsdw,"[2, 45, 51, 56, 77, 137, 276, 298, 1818, 2119]",300,10
eodw,[3],290,1
nodw,"[184, 191, 364]",121,3
4Ddw,"[15, 18, 87, 333, 365, 1751]",300,6
gPdw,[14],211,1
zPdw,"[3, 4, 6]",249,3
ghdw,"[4, 9, 10, 13, 31, 47, 54, 97, 188, 243, 278, 330]",223,12
cTdw,"[9, 10, 34, 1644]",147,4
UUdw,"[68, 72, 98, 240]",164,4
1Cdw,"[0, 352, 1229]",300,3
Btdw,[0],174,1
2idw,"[2, 44, 46, 107, 109, 114, 138, 145, 162, 785]",300,10
Nxdw,"[29, 32, 191, 299, 1159]",121,5
3ndw,"[0, 1, 124, 3451]",160,4
ZUdw,"[0, 12]",292,2
rtdw,"[5, 3711]",218,2
26dw,[2633],189,1
ybdw,"[3, 4, 6, 14]",208,4
xTdw,"[3, 4, 28, 33, 38]",229,5
Vudw,"[4, 10, 154, 263]",136,4
nIdw,"[5, 49, 265, 919]",135,4
RPdw,[8],300,1
hCdw,"[0, 1, 357, 372, 1359]",121,5
DMdw,"[0, 139]",300,2
bgdw,"[0, 1, 219]",294,3
qddw,"[0, 12]",300,2
pNdw,"[11, 20, 22, 29, 32, 120, 430, 1209]",207,8
aedw,[8],170,1
JPdw,"[21, 23, 24, 718]",140,4
zwdw,"[736, 914, 1730]",197,3
75dw,[225],165,1
hEdw,"[0, 1, 968]",300,3
aPdw,"[0, 1]",300,2
Yfdw,[8],222,1
mndw,[39],300,1
7vdw,"[0, 1512]",248,2
x0dw,"[0, 1, 5]",300,3
D3dw,"[6, 8]",300,2
oCdw,[146],272,1
bxdw,"[0, 52, 70, 91, 125]",149,5
Cgdw,"[1103, 1223, 1833]",296,3
Wsdw,"[0, 1, 517, 2022, 2295]",148,5
oYdw,"[15, 2173]",125,2
UOdw,"[0, 1, 5, 16, 25]",140,5
mqdw,"[31, 40, 47, 57]",140,4
rTdw,[13],282,1
dMdw,[312],290,1
d8dw,[61],206,1
yGdw,[3],216,1
6Adw,[11],194,1
5ddw,"[3, 4, 6, 9, 10, 13, 28, 33, 37, 97, 2186]",300,11
yYdw,"[188, 594]",129,2
nEdw,"[82, 103, 118]",184,3
ozdw,"[0, 1, 159, 183, 951]",119,5
pgdw,[50],194,1
Jfdw,"[251, 736, 1728]",212,3
sQdw,[11],300,1
medw,[235],233,1
Wgdw,"[1, 836]",226,2
QIdw,[1548],300,1
95dw,"[3, 6]",274,2
Eudw,"[11, 20, 22, 29, 32, 120, 173, 426]",258,8
E3dw,"[574, 596]",188,2
A9dw,"[2, 7, 75, 95, 165, 172, 224, 3079]",276,8
OMdw,"[4, 9, 10, 37, 421, 1721]",300,6
godw,"[3, 6]",300,2
Jhdw,"[2, 7, 90]",131,3
pUdw,"[0, 1, 1849]",131,3
3Pdw,"[21, 23, 24, 115]",159,4
a6dw,[80],300,1
tpdw,"[11, 22, 32, 791]",293,4
uVdw,[8],170,1
WEdw,"[2, 30, 55]",281,3
18dw,"[2, 56, 218]",300,3
MWdw,"[88, 313, 2389]",157,3
Hadw,"[3, 4, 6, 10, 13, 54, 188, 330]",300,8
Wjdw,"[21, 23, 24, 73, 209, 288, 322]",215,7
u4dw,"[5, 1071]",260,2
iudw,"[242, 293, 1570]",173,3
zadw,[4],153,1
d1dw,"[3, 4, 13, 54]",300,4
SLdw,"[64, 149, 3126]",139,3
Fmdw,"[0, 42, 306]",300,3
R1dw,"[2, 252]",155,2
MXdw,"[269, 1363]",217,2
Dndw,"[3, 4, 9, 10]",211,4
DZdw,"[11, 20, 22, 29, 32, 112, 120, 122, 1186, 2904]",300,10
x3dw,"[0, 91]",214,2
31dw,"[21, 24, 2264]",233,3
jzdw,"[16, 25]",155,2
VBdw,"[623, 672, 724]",300,3
yndw,[8],230,1
e0dw,"[2, 7, 17, 104, 1217]",300,5
TKdw,"[11, 20, 22, 29, 32, 122, 123, 176, 211]",190,9
Q4dw,"[2, 7, 235, 375, 1142]",225,5
ffdw,"[0, 1, 35, 85, 153, 562]",300,6
Mfdw,"[3, 6]",300,2
ORdw,"[6, 8, 414]",300,3
UXdw,"[0, 1445]",300,2
s6dw,"[92, 110]",300,2
77dw,"[26, 136, 194, 441, 764, 1132, 1208]",300,7
vvdw,[2109],300,1
Dtdw,"[3, 4, 6, 13, 41]",191,5
bOdw,"[0, 52, 70]",130,3
6ndw,"[2, 30, 724, 1407]",174,4
1Gdw,"[4, 9, 10, 37]",300,4
BMdw,[12],254,1
WQdw,[3],139,1
Rqdw,"[0, 1, 42, 111]",136,4
dldw,"[3, 4]",216,2
IQdw,"[3, 6]",213,2
eRdw,"[11, 20, 29, 32, 2178]",264,5
P9dw,"[6, 8]",212,2
0idw,[3],300,1
mydw,"[3, 9, 34]",300,3
4Jdw,"[136, 1945]",120,2
Tydw,[3],195,1
Qddw,"[0, 12]",300,2
X5dw,[648],300,1
AIdw,"[1, 2, 7, 269, 320, 2563, 2729]",144,7
vodw,"[26, 574, 596, 609]",300,4
1mdw,[189],269,1
LDdw,"[25, 2982]",211,2
Cudw,[1367],274,1
WFdw,"[0, 5, 16, 441]",273,4
Hfdw,"[5, 16, 789, 2403]",300,4
5Edw,"[0, 1, 36, 94, 132]",282,5
H3dw,"[5, 49, 150]",146,3
fKdw,"[0, 1, 139]",300,3
Vfdw,"[5, 662, 882, 2379]",155,4
37dw,"[5, 16, 647, 1360]",300,4
nRdw,"[2, 44, 2283]",199,3
Fddw,[14],224,1
zxdw,"[105, 294, 331, 488]",178,4
Bjdw,"[68, 72, 98, 151]",300,4
dNdw,"[0, 1, 268, 3790]",133,4
9zdw,[3],300,1
rzdw,"[3, 6]",178,2
mEdw,"[23, 733]",300,2
Evdw,"[3, 4, 6, 13]",133,4
CGdw,[471],300,1
wNdw,[641],153,1
G3dw,"[2, 7, 48, 177, 460, 1031, 1732]",167,7
vqdw,"[68, 907]",213,2
3Ddw,"[3, 4, 9]",291,3
Xadw,"[26, 130, 435]",296,3
72dw,"[2, 7, 64, 149]",138,4
7Ydw,"[2, 17, 19, 48, 128, 1852]",128,6
n6dw,"[337, 1116]",187,2
Gcdw,"[2, 44, 46, 162]",205,4
Bmdw,[14],258,1
Wrdw,"[0, 1, 69, 236, 404, 589]",124,6
Jodw,[451],206,1
fWdw,"[0, 79, 237]",229,3
9Ydw,[25],129,1
ePdw,"[0, 241]",226,2
Zvdw,"[6, 8, 206]",179,3
JNdw,[0],237,1
lwdw,"[3, 4, 13]",300,3
0wdw,"[31, 40, 47, 57]",180,4
OVdw,"[62, 251]",227,2
iydw,[12],192,1
qJdw,"[0, 1, 124, 1026]",300,4
kadw,"[4, 31, 40, 47, 57]",300,5
4Hdw,"[3, 4, 6, 13, 41]",173,5
CWdw,[310],150,1
oMdw,"[3, 4, 6, 9, 10, 13]",268,6
iLdw,"[3, 4, 13]",300,3
Aodw,"[0, 111, 1992]",300,3
Pgdw,"[557, 1286]",164,2
7ndw,"[0, 670]",300,2
Mmdw,[2297],300,1
oidw,[53],213,1
HUdw,[25],145,1
jodw,[39],189,1
LIdw,"[11, 20, 29, 32, 559, 1115, 1136]",277,7
awdw,"[15, 18, 43, 59]",269,4
97dw,"[468, 983, 1074]",300,3
Vjdw,"[15, 18, 59, 238, 1576, 2985]",227,6
ridw,[61],196,1
Yddw,[8],164,1
pidw,"[0, 1, 36, 94, 147, 367]",152,6
LGdw,"[19, 48]",300,2
AMdw,[39],300,1
zNdw,"[251, 270, 495]",300,3
hvdw,"[9, 10, 34]",148,3
8sdw,"[21, 23]",228,2
6jdw,"[0, 1]",188,2
2mdw,"[53, 58, 163, 214]",200,4
JAdw,"[3, 4]",205,2
A1dw,"[2, 7, 48, 266, 458]",215,5
cMdw,"[0, 42, 306]",300,3
XZdw,"[5, 49, 80]",245,3
RUdw,"[2, 7]",182,2
I0dw,"[4, 13, 164]",300,3
SAdw,[41],175,1
71dw,[179],300,1
PFdw,"[2, 44, 46, 107, 114, 145, 162]",255,7
5Kdw,"[461, 498]",168,2
Bvdw,"[0, 1, 27]",236,3
O4dw,"[3, 4, 6, 9, 10]",300,5
Lqdw,"[21, 23, 24, 73, 504, 676]",276,6
Fudw,"[26, 130, 435, 610, 636, 1568]",156,6
BBdw,"[160, 231]",222,2
Rkdw,"[26, 130, 189, 435, 610]",170,5
a5dw,[8],300,1
fsdw,"[2, 402]",300,2
oGdw,"[1, 25, 777, 1404]",142,4
Sjdw,[5],244,1
jvdw,"[652, 763]",240,2
Ekdw,"[2, 7, 171, 213, 344, 458, 1884, 3292]",154,8
Yjdw,"[1, 56, 218, 1794]",283,4
bGdw,"[15, 18, 67, 140, 796, 1454, 2142]",196,7
h4dw,"[19, 272, 318]",140,3
h6dw,"[0, 52, 70]",217,3
Xudw,"[21, 23, 73]",144,3
7xdw,"[126, 276]",250,2
dOdw,"[2, 30, 2581]",168,3
MTdw,"[2, 17, 83, 128]",300,4
qfdw,"[3, 4, 6]",266,3
iNdw,"[3, 4]",195,2
h3dw,"[0, 1, 124, 287]",300,4
RAdw,"[71, 152]",226,2
0Wdw,[1226],212,1
sKdw,"[0, 654]",178,2
Uldw,"[39, 156]",148,2
vudw,"[2, 45, 51, 56, 77]",149,5
m0dw,"[0, 1, 219]",287,3
eSdw,"[11, 20, 22, 406]",216,4
m9dw,"[0, 52, 70]",300,3
D9dw,"[0, 1]",300,2
wwdw,[11],194,1
i9dw,"[4, 9, 10, 34, 37]",211,5
LWdw,[3],138,1
Bqdw,"[4, 41]",216,2
y5dw,"[6, 8, 558]",300,3
Sxdw,"[0, 1, 245, 1780, 3173]",300,5
htdw,"[3, 4, 6, 9, 10]",123,5
r8dw,"[0, 5, 16, 215, 412, 447]",150,6
fddw,"[2, 30, 495]",151,3
1ddw,"[66, 148]",135,2
4edw,[92],300,1
L7dw,"[2, 18, 43, 59, 60, 76, 101, 286, 385]",300,9
Zldw,[2659],300,1
STdw,"[0, 5, 3045]",300,3
Hrdw,[99],234,1
Xhdw,"[3, 4, 13, 54, 168, 188, 594]",240,7
Andw,"[1658, 2676]",184,2
jkdw,"[0, 1, 35, 134, 1035]",281,5
JEdw,[14],286,1
lSdw,[3],255,1
Uydw,"[3, 6]",216,2
yhdw,"[2, 7, 48, 3279, 3375]",300,5
XYdw,"[0, 53, 58]",300,3
hWdw,"[5, 16, 268, 354, 682, 977]",158,6
2zdw,[1],300,1
3Idw,"[66, 1125]",128,2
Efdw,[146],300,1
tzdw,"[11, 463]",300,2
ixdw,"[6, 14]",160,2
6Edw,"[2, 30, 1014]",300,3
vHdw,"[0, 1, 36, 124, 2525]",300,5
DWdw,"[3, 4, 6, 10, 13, 54, 97]",300,7
JTdw,"[4, 13, 28, 33, 38]",197,5
Fzdw,"[2, 7, 104, 224, 267, 566]",138,6
JSdw,"[0, 1, 546]",300,3
CPdw,"[246, 658, 3764]",167,3
Y2dw,"[15, 178, 555, 1076, 1225]",296,5
gVdw,"[60, 333, 365]",161,3
LBdw,[3],146,1
W1dw,[71],218,1
1ydw,"[15, 555, 1044, 1090]",300,4
uJdw,"[15, 18, 67, 99]",203,4
S4dw,"[0, 1, 203, 409]",300,4
rNdw,"[18, 1125]",184,2
Iadw,"[0, 226]",300,2
yLdw,"[2, 7, 83, 541, 820]",181,5
qMdw,[14],291,1
VDdw,"[1, 1518]",153,2
sEdw,"[0, 1, 180, 387]",300,4
Fxdw,"[11, 1366]",154,2
VPdw,"[31, 40, 47, 57]",225,4
cLdw,[3],300,1
iXdw,"[8, 71, 1652]",300,3
WYdw,"[0, 1, 193]",263,3
vedw,"[2, 44, 46, 107, 109, 114, 138, 145, 785]",300,9
BCdw,"[1, 5, 16]",300,3
N7dw,"[0, 12]",300,2
0Ddw,"[21, 23, 24, 73, 676]",300,5
fvdw,[14],184,1
Uqdw,"[0, 1, 670]",285,3
lVdw,[12],139,1
xBdw,"[0, 1, 36, 147]",300,4
TRdw,"[0, 1, 836]",293,3
9ndw,"[2, 7, 316, 1472]",264,4
nHdw,"[31, 40, 47, 57]",300,4
lqdw,"[0, 1, 2963]",216,3
6Mdw,"[0, 93, 102]",252,3
N4dw,"[0, 52]",240,2
qPdw,"[2, 17, 443]",127,3
r5dw,"[66, 148, 253, 271]",214,4
JGdw,"[1, 1370]",300,2
Uzdw,"[2, 7, 48, 177, 979, 1394, 3528]",138,7
jTdw,"[15, 18, 59, 238, 274, 366, 773]",267,7
IOdw,"[6, 8]",257,2
Owdw,"[21, 718, 1899]",300,3
r7dw,"[5, 16]",300,2
Ikdw,[1915],153,1
ondw,"[4, 31, 47, 57]",276,4
tFdw,"[5, 49, 80]",281,3
UNdw,"[0, 1, 989]",300,3
